-22.35135574	-19.96772118	-0.80932964
-22.25135574	-19.96772118	-0.79575404
-22.15135574	-19.96772118	-0.80702711
-22.05135574	-19.96772118	-0.79082047
-21.95135574	-19.96772118	-0.80726782
-21.85135574	-19.96772118	-0.79639192
-21.75135574	-19.96772118	-0.65579963
-21.65135574	-19.96772118	-0.81870631
-21.55135574	-19.96772118	-0.82873308
-21.45135574	-19.96772118	-0.86048187
-21.35135574	-19.96772118	-0.87613750
-21.25135574	-19.96772118	-0.89581997
-21.15135574	-19.96772118	-0.90944930
-21.05135574	-19.96772118	-0.92240624
-20.95135574	-19.96772118	-0.93272502
-20.85135574	-19.96772118	-0.94182228
-20.75135574	-19.96772118	-0.94950611
-20.65135574	-19.96772118	-0.95620031
-20.55135574	-19.96772118	-0.96205733
-20.45135574	-19.96772118	-0.96724875
-20.35135574	-19.96772118	-0.97194350
-20.25135574	-19.96772118	-0.97624917
-20.15135574	-19.96772118	-0.98030096
-20.05135574	-19.96772118	-0.98419288
-19.95135574	-19.96772118	-0.98800624
-19.85135574	-19.96772118	-0.99188482
-19.75135574	-19.96772118	-0.99574885
-19.65135574	-19.96772118	-0.99999232
-19.55135574	-19.96772118	-1.00489899
-19.45135574	-19.96772118	-1.00945362
-19.35135574	-19.96772118	-1.01574181
-19.25135574	-19.96772118	-1.02501864
-19.15135574	-19.96772118	-1.02916385
-19.05135574	-19.96772118	-1.04065062
-18.95135574	-19.96772118	-1.04161147
-18.85135574	-19.96772118	-1.04774658
-18.75135574	-19.96772118	-1.07260203
-18.65135574	-19.96772118	-1.05006784
-18.55135574	-19.96772118	-0.57179677
-18.45135574	-19.96772118	-0.39467475
-18.35135574	-19.96772118	-1.04913525
-18.25135574	-19.96772118	-1.04713582
-18.15135574	-19.96772118	-1.05494520
-18.05135574	-19.96772118	-1.05230213
-17.95135574	-19.96772118	-1.05561752
-17.85135574	-19.96772118	-1.05864326
-17.75135574	-19.96772118	-0.22670469
-17.65135574	-19.96772118	-0.05840738
-17.55135574	-19.96772118	-0.27524009
-17.45135574	-19.96772118	-1.06099784
-17.35135574	-19.96772118	-1.04444706
-17.25135574	-19.96772118	-0.83483475
-17.15135574	-19.96772118	-0.97707450
-17.05135574	-19.96772118	-0.25544414
-16.95135574	-19.96772118	-0.22982322
-16.85135574	-19.96772118	-0.18018341
-16.75135574	-19.96772118	-0.95002848
-16.65135574	-19.96772118	-0.65026981
-16.55135574	-19.96772118	-0.12896010
-16.45135574	-19.96772118	-0.08879367
-16.35135574	-19.96772118	-0.70357054
-16.25135574	-19.96772118	-0.47329548
-16.15135574	-19.96772118	-0.54319686
-16.05135574	-19.96772118	-0.20106712
-15.95135574	-19.96772118	-1.04816032
-15.85135574	-19.96772118	-0.32502204
-15.75135574	-19.96772118	-1.03704125
-15.65135574	-19.96772118	-0.30586261
-15.55135574	-19.96772118	-0.83334637
-15.45135574	-19.96772118	-1.00683463
-15.35135574	-19.96772118	-0.99621439
-15.25135574	-19.96772118	-0.33227393
-15.15135574	-19.96772118	-0.81095093
-15.05135574	-19.96772118	-0.73242259
-14.95135574	-19.96772118	-1.01113915
-14.85135574	-19.96772118	-0.95867765
-14.75135574	-19.96772118	-0.87103373
